Samples,Profile,Latitude,Longitude,Upper_depth_cm,Lower_depth_cm,SOC_g_kg,pH,CLCD,Time,log_SOC,is_surface,grid_lat,grid_lon,grid_id,depth_bin
211,46,21.68486111,109.4205,84,132,1.4,5.3,Cropland,2014,0.8754687373538999,0,4,21,4021,50-100cm
212,47,21.85002778,108.6452778,0,13,17.2,4.3,Forest,2014,2.9014215940827497,1,4,21,4021,0-20cm
213,47,21.85002778,108.6452778,13,25,6.8,4.3,Forest,2014,2.0541237336955462,0,4,21,4021,0-20cm
214,47,21.85002778,108.6452778,25,55,2.9,4.3,Forest,2014,1.3609765531356006,0,4,21,4021,20-50cm
215,47,21.85002778,108.6452778,55,115,1.8,4.3,Forest,2014,1.0296194171811583,0,4,21,4021,50-100cm
216,47,21.85002778,108.6452778,115,140,1.7,4.7,Forest,2014,0.9932517730102833,0,4,21,4021,>100cm
217,48,21.59130556,109.7019722,0,12,3.9,5.6,Cropland,2014,1.589235205116581,1,4,21,4021,0-20cm
218,48,21.59130556,109.7019722,12,35,2.6,5.0,Cropland,2014,1.2809338454620642,0,4,21,4021,0-20cm
219,48,21.59130556,109.7019722,35,78,2.2,4.7,Cropland,2014,1.1631508098056809,0,4,21,4021,20-50cm
220,48,21.59130556,109.7019722,78,130,2.0,4.8,Cropland,2014,1.0986122886681098,0,4,21,4021,50-100cm
221,49,22.69694444,107.4366111,0,19,10.7,5.0,Cropland,2014,2.4595888418037104,1,4,21,4021,0-20cm
222,49,22.69694444,107.4366111,19,40,3.9,5.9,Cropland,2014,1.589235205116581,0,4,21,4021,0-20cm
223,49,22.69694444,107.4366111,40,62,4.1,6.1,Cropland,2014,1.62924053973028,0,4,21,4021,20-50cm
224,49,22.69694444,107.4366111,62,110,4.4,6.1,Cropland,2014,1.6863989535702288,0,4,21,4021,50-100cm
225,50,22.32913889,107.8870833,0,25,11.9,5.6,Cropland,2014,2.5572273113676265,1,4,21,4021,0-20cm
226,50,22.32913889,107.8870833,25,56,5.9,5.2,Cropland,2014,1.9315214116032138,0,4,21,4021,20-50cm
227,50,22.32913889,107.8870833,56,84,4.2,4.6,Cropland,2014,1.6486586255873816,0,4,21,4021,50-100cm
228,50,22.32913889,107.8870833,84,120,3.0,4.8,Cropland,2014,1.3862943611198906,0,4,21,4021,50-100cm
229,51,21.92580556,108.7418333,0,13,21.4,4.7,Forest,2014,3.109060958860994,1,4,21,4021,0-20cm
230,51,21.92580556,108.7418333,13,32,15.2,4.6,Forest,2014,2.785011242238338,0,4,21,4021,0-20cm
